Especie,Categoria de Dieta,Dentro de agua,Sobre el agua,Piso,Sotobosque,Medio,Dosel,Aéreo,Masa Promedio
Vanellus cayanus,Invertebrados,0,0,100,0,0,0,0,69.38
Vanellus chilensis,Invertebrados,0,20,80,0,0,0,0,295.14
Charadrius collaris,Invertebrados,0,40,60,0,0,0,0,25.65
Himantopus mexicanus,Invertebrados,0,100,0,0,0,0,0,165.91
Burhinus bistriatus,Carnívoro/Carroñero,0,0,100,0,0,0,0,744.70
Calidris minutilla,Invertebrados,0,20,80,0,0,0,0,21.57
Calidris melanotos,Invertebrados,0,20,80,0,0,0,0,60.47
Gallinago paraguaiae,Invertebrados,0,20,80,0,0,0,0,109.44
Actitis macularius,Invertebrados,0,20,80,0,0,0,0,37.42
Tringa solitaria,Invertebrados,0,50,50,0,0,0,0,215.20
Tringa melanoleuca,Invertebrados,0,80,20,0,0,0,0,171.77
Tringa flavipes,Invertebrados,0,50,50,0,0,0,0,64.25
Jacana jacana,Invertebrados,0,50,50,0,0,0,0,106.31
Rynchops niger,Carnívoro/Carroñero,0,100,0,0,0,0,0,328.87
Sternula superciliaris,Carnívoro/Carroñero,100,0,0,0,0,0,0,46.40
Phaetusa simplex,Carnívoro/Carroñero,50,30,10,10,0,0,0,236.88
Eurypyga helias,Carnívoro/Carroñero,0,50,50,0,0,0,0,203.50
Mycteria americana,Carnívoro/Carroñero,0,50,50,0,0,0,0,2554.47
Anhinga anhinga,Carnívoro/Carroñero,100,0,0,0,0,0,0,1119.80
Phalacrocorax brasilianus,Carnívoro/Carroñero,100,0,0,0,0,0,0,1321.23
Pelecanus occidentalis,Carnívoro/Carroñero,100,0,0,0,0,0,0,2463.92
Tigrisoma lineatum,Invertebrados,0,80,20,0,0,0,0,812.66
Agamia agami,Carnívoro/Carroñero,0,50,50,0,0,0,0,603.25
Cochlearius cochlearius,Invertebrados,0,40,60,0,0,0,0,582.01
Botaurus pinnatus,Carnívoro/Carroñero,0,50,50,0,0,0,0,812.16
Nycticorax nycticorax,Carnívoro/Carroñero,0,50,50,0,0,0,0,810.00
Butorides striata,Carnívoro/Carroñero,0,80,20,0,0,0,0,189.73
Bubulcus ibis,Invertebrados,0,30,70,0,0,0,0,335.48
Ardea cocoi,Carnívoro/Carroñero,0,100,0,0,0,0,0,1725.60
Ardea alba,Carnívoro/Carroñero,0,50,50,0,0,0,0,818.74
Syrigma sibilatrix,Invertebrados,30,70,0,0,0,0,0,421.50
Pilherodius pileatus,Carnívoro/Carroñero,0,80,20,0,0,0,0,546.76
Egretta thula,Omnívoro,0,70,30,0,0,0,0,371.00
Egretta caerulea,Invertebrados,0,100,0,0,0,0,0,329.12
Eudocimus albus,Carnívoro/Carroñero,0,40,60,0,0,0,0,889.66
Eudocimus ruber,Invertebrados,0,50,50,0,0,0,0,660.08
Mesembrinibis cayennensis,Invertebrados,0,40,60,0,0,0,0,838.00
