Especie,Categoria de Dieta,Dentro de agua,Sobre el agua,Piso,Sotobosque,Medio,Dosel,Aéreo,Masa Promedio
Ochthornis littoralis,Invertebrados,0,0,50,50,0,0,0,16.03
Cnemotriccus fuscatus,Invertebrados,0,0,40,40,20,0,0,13.09
Lathrotriccus euleri,Invertebrados,0,0,0,100,0,0,0,11.54
Empidonax alnorum,Invertebrados,0,0,0,0,100,0,0,12.35
Contopus cooperi,Invertebrados,0,0,0,50,50,0,0,32.08
Contopus virens,Invertebrados,0,0,33,33,33,0,0,13.77
Cyclarhis gujanensis,Invertebrados,0,0,0,40,40,20,0,27.61
Hylophilus flavipes,Invertebrados,0,0,0,20,60,20,0,11.54
Vireo olivaceus,Invertebrados,0,0,0,0,20,80,0,16.45
Vireo flavoviridis,Invertebrados,0,0,0,0,30,70,0,17.27
Cyanocorax violaceus,Omnívoro,0,0,0,0,60,40,0,247.50
Pygochelidon cyanoleuca,Invertebrados,0,0,0,0,100,0,0,10.52
Atticora fasciata,Invertebrados,0,0,0,30,20,20,30,16.42
Atticora tibialis,Invertebrados,0,0,0,60,40,0,0,17.93
Stelgidopteryx ruficollis,Invertebrados,0,0,0,40,60,0,0,15.13
Progne tapera,Invertebrados,0,0,0,30,20,20,30,33.80
Progne chalybea,Invertebrados,0,0,20,20,20,20,20,38.77
Tachycineta albiventer,Invertebrados,0,0,0,80,20,0,0,17.72
Hirundo rustica,Invertebrados,0,0,30,30,40,0,0,16.37
Microcerculus marginatus,Invertebrados,0,0,50,50,0,0,0,18.16
Troglodytes aedon,Invertebrados,0,0,0,100,0,0,0,12.20
Campylorhynchus griseus,Invertebrados,0,0,20,0,40,40,0,41.81
Campylorhynchus turdinus,Invertebrados,0,0,0,0,50,50,0,31.30
Pheugopedius coraya,Invertebrados,0,0,40,40,20,0,0,16.88
Cantorchilus leucotis,Invertebrados,0,0,0,80,20,0,0,18.74
Ramphocaenus melanurus,Invertebrados,0,0,0,0,100,0,0,9.77
Donacobius atricapilla,Invertebrados,0,0,0,50,50,0,0,38.27
Catharus ustulatus,Invertebrados,0,0,50,50,0,0,0,29.30
Turdus leucomelas,Invertebrados,0,0,60,20,20,0,0,69.06
Turdus fumigatus,Omnívoro,0,0,50,50,0,0,0,58.60
Turdus nudigenis,Omnívoro,0,0,20,0,40,40,0,60.58
Turdus lawrencii,Omnívoro,0,0,20,30,30,20,0,70.13
Turdus ignobilis,Omnívoro,0,0,20,30,30,20,0,64.51
Turdus albicollis,Invertebrados,0,0,80,0,20,0,0,49.46
Mimus gilvus,Invertebrados,0,0,50,50,0,0,0,58.74
Euphonia chlorotica,Frutas/Néctar,0,0,0,0,10,90,0,11.00
Euphonia laniirostris,Frutas/Néctar,0,0,0,0,70,30,0,14.71
Euphonia chrysopasta,Omnívoro,0,0,0,0,30,70,0,14.00
Euphonia minuta,Invertebrados,0,0,0,0,30,70,0,8.85
Euphonia xanthogaster,Frutas/Néctar,0,0,0,20,60,20,0,13.02
Ammodramus humeralis,Plantas/Semillas,0,0,60,30,10,0,0,15.75
Ammodramus aurifrons,Plantas/Semillas,0,0,80,20,0,0,0,16.40
Arremonops conirostris,Omnívoro,0,0,70,20,10,0,0,34.68
Zonotrichia capensis,Plantas/Semillas,0,0,100,0,0,0,0,20.93
Sturnella magna,Invertebrados,0,0,100,0,0,0,0,88.53
Leistes militaris,Omnívoro,0,0,90,10,0,0,0,45.86
Psarocolius angustifrons,Omnívoro,0,0,0,0,30,70,0,358.25
Psarocolius decumanus,Frutas/Néctar,0,0,10,0,50,40,0,212.06
Psarocolius bifasciatus,Omnívoro,0,0,0,0,50,50,0,324.85
Cacicus solitarius,Invertebrados,0,0,0,40,60,0,0,79.76
Cacicus cela,Frutas/Néctar,0,0,0,0,20,80,0,83.45
Cacicus haemorrhous,Invertebrados,0,0,0,20,60,20,0,94.86
Icterus cayanensis,Invertebrados,0,0,0,20,40,40,0,37.80
Icterus nigrogularis,Frutas/Néctar,0,0,0,0,0,100,0,39.61
Molothrus oryzivorus,Frutas/Néctar,0,0,40,10,10,40,0,181.85
Molothrus bonariensis,Invertebrados,0,0,100,0,0,0,0,48.53
Quiscalus lugubris,Invertebrados,0,0,100,0,0,0,0,58.61
Lampropsar tanagrinus,Omnívoro,0,0,30,40,30,0,0,117.25
Gymnomystax mexicanus,Frutas/Néctar,0,0,60,20,20,0,0,98.00
Parkesia noveboracensis,Invertebrados,0,0,80,20,0,0,0,15.75
Setophaga ruticilla,Invertebrados,0,0,0,0,80,20,0,7.92
Setophaga fusca,Invertebrados,0,0,0,0,20,60,20,9.52
Setophaga petechia,Invertebrados,0,0,0,20,80,0,0,9.69
Setophaga striata,Invertebrados,0,0,0,0,100,0,0,11.28
Piranga rubra,Invertebrados,0,0,0,20,30,30,20,29.73
Piranga olivacea,Invertebrados,0,0,10,10,40,40,0,28.21
Chlorophanes spiza,Frutas/Néctar,0,0,0,10,30,60,0,18.79
Hemithraupis flavicollis,Invertebrados,0,0,0,0,20,80,0,12.58
Sicalis columbiana,Plantas/Semillas,0,0,20,60,20,0,0,12.96
Sicalis flaveola,Plantas/Semillas,0,0,40,60,0,0,0,18.22
Volatinia jacarina,Omnívoro,0,0,100,0,0,0,0,9.60
Loriotus cristatus,Omnívoro,0,0,0,10,20,70,0,17.65
Tachyphonus surinamus,Omnívoro,0,0,0,40,40,20,0,18.73
Tachyphonus rufus,Invertebrados,0,0,20,50,10,10,10,34.71
Tachyphonus phoenicius,Invertebrados,0,0,0,70,30,0,0,19.44
Eucometis penicillata,Invertebrados,0,0,0,90,10,0,0,28.52
Ramphocelus nigrogularis,Omnívoro,0,0,0,0,80,20,0,28.00
Ramphocelus carbo,Omnívoro,0,0,0,50,40,10,0,24.82
Cyanerpes nitidus,Omnívoro,0,0,0,0,10,90,0,9.62
Cyanerpes caeruleus,Frutas/Néctar,0,0,10,10,20,60,0,11.37
Cyanerpes cyaneus,Frutas/Néctar,0,0,0,20,40,40,0,13.92
Tersina viridis,Frutas/Néctar,0,0,0,10,60,30,0,27.31
Dacnis flaviventer,Frutas/Néctar,0,0,0,0,50,50,0,13.00
Dacnis cayana,Omnívoro,0,0,0,0,30,60,10,13.56
Sporophila bouvronides,Plantas/Semillas,0,0,30,70,0,0,0,9.48
Sporophila lineola,Plantas/Semillas,0,0,30,70,0,0,0,9.34
Sporophila castaneiventris,Plantas/Semillas,0,0,50,50,0,0,0,7.80
Sporophila minuta,Plantas/Semillas,0,0,50,50,0,0,0,8.01
Sporophila angolensis,Plantas/Semillas,0,0,60,40,0,0,0,12.60
Sporophila crassirostris,Plantas/Semillas,0,0,70,30,0,0,0,19.82
Sporophila intermedia,Plantas/Semillas,0,0,100,0,0,0,0,11.61
Sporophila murallae,Plantas/Semillas,0,0,40,60,0,0,0,10.77
Sporophila nigricollis,Plantas/Semillas,0,0,30,70,0,0,0,9.71
Saltator maximus,Invertebrados,0,0,20,40,20,20,0,45.06
Saltator coerulescens,Invertebrados,0,0,0,70,30,0,0,52.89
Emberizoides herbicola,Omnívoro,0,0,70,30,0,0,0,25.76
Coereba flaveola,Frutas/Néctar,0,0,0,80,20,0,0,9.52
Paroaria gularis,Invertebrados,0,0,30,60,10,0,0,22.23
Schistochlamys melanopis,Omnívoro,0,0,0,20,70,10,0,31.96
Cissopis leverianus,Frutas/Néctar,0,0,20,30,30,20,0,88.33
Stilpnia cayana,Frutas/Néctar,0,0,0,30,40,30,0,18.31
Stilpnia nigrocincta,Frutas/Néctar,0,0,0,0,20,80,0,14.85
Tangara mexicana,Omnívoro,0,0,0,30,30,40,0,19.60
Tangara chilensis,Frutas/Néctar,0,0,0,0,20,80,0,18.76
Tangara velia,Frutas/Néctar,0,0,0,10,20,70,0,21.00
Tangara callophrys,Frutas/Néctar,0,0,0,0,30,70,0,26.45
Thraupis episcopus,Omnívoro,0,0,0,10,90,0,0,33.76
Thraupis palmarum,Frutas/Néctar,0,0,0,0,20,70,10,37.55
Ixothraupis xanthogastra,Omnívoro,0,0,0,0,40,60,0,15.00
