Sitio,Aburria aburri,Accipiter bicolor,Accipiter poliogaster,Accipiter superciliosus,Actitis macularius,Aeronautes montivagus,Agamia agami,Akletos melanoceps,Amazona amazonica,Amazona farinosa,Amazona festiva,Amazona ochrocephala,Amazonetta brasiliensis,Ammodramus aurifrons,Ammodramus humeralis,Ammonastes pelzelni,Anabacerthia ruficaudata,Ancistrops strigilatus,Anhima cornuta,Anhinga anhinga,Anthracothorax nigricollis,Antrostomus rufus,Anthus lutescens,Anurolimnas castaneiceps,Anurolimnas fasciatus,Anurolimnas viridis,Aprositornis disjuncta,Ara ararauna,Ara chloropterus,Ara macao,Ara militaris,Ara severus,Aramides cajaneus,Aramus guarauna,Aratinga weddellii,Ardea alba,Ardea cocoi,Ardea herodias,Arremon taciturnus,Arremonops conirostris,Arundinicola leucocephala,Asio clamator,Asio flammeus,Atalotriccus pilaris,Athene cunicularia,Atticora fasciata,Atticora tibialis,Attila cinnamomeus,Attila citriniventris,Attila spadiceus,Automolus infuscatus,Automolus ochrolaemus,Automolus rufipileatus,Automolus subulatus,Avocettula recurvirostris,Bartramia longicauda,Baryphthengus martii,Basileuterus culicivorus,Berlepschia rikeri,Botaurus pinnatus,Brachygalba goeringi,Brachygalba lugubris,Brotogeris cyanoptera,Brotogeris jugularis,Brotogeris sanctithomae,Brotogeris versicolurus,Bubo virginianus,Bubulcus ibis,Bucco capensis,Bucco macrodactylus,Bucco tamatia,Burhinus bistriatus,Busarellus nigricollis,Buteo albonotatus,Buteo brachyurus,Buteo nitidus,Buteo platypterus,Buteogallus meridionalis,Buteogallus schistaceus,Buteogallus solitarius,Buteogallus urubitinga,Butorides striata,Butorides virescens,Cacicus cela,Cacicus haemorrhous,Cacicus latirostris,Cacicus oseryi,Cacicus sclateri,Cacicus solitarius,Cairina moschata,Calidris fuscicollis,Calidris melanotos,Calidris minutilla,Calidris subruficollis,Calliphlox amethystina,Campephilus melanoleucos,Campephilus rubricollis,Camptostoma obsoletum,Campylopterus largipennis,Campylorhamphus procurvoides,Campylorhamphus trochilirostris,Campylorhynchus griseus,Campylorhynchus nuchalis,Campylorhynchus turdinus,Cantorchilus leucotis,Capito auratus,Capito aurovirens,Capsiempis flaveola,Caracara cheriway,Cardellina canadensis,Caryothraustes canadensis,Cathartes aura,Cathartes burrovianus,Cathartes melambrotus,Catharus fuscescens,Catharus maculatus,Catharus minimus,Catharus ustulatus,Celeus elegans,Celeus flavus,Celeus grammicus,Celeus torquatus,Cephalopterus ornatus,Ceratopipra erythrocephala,Cercibis oxycerca,Cercomacra cinerascens,Cercomacra nigricans,Cercomacroides fuscicauda,Cercomacroides nigrescens,Cercomacroides serva,Cercomacroides tyrannina,Certhiasomus stictolaemus,Certhiaxis cinnamomeus,Chaetura brachyura,Chaetura chapmani,Chaetura cinereiventris,Chaetura egregia,Chalybura buffonii,Chamaeza nobilis,Charadrius collaris,Charadrius semipalmatus,Charadrius vociferus,Chelidoptera tenebrosa,Chionomesa fimbriata,Chiroxiphia pareola,Chlorestes cyanus,Chlorestes notata,Chloroceryle aenea,Chloroceryle amazona,Chloroceryle americana,Chloroceryle inda,Chlorophanes spiza,Chlorophonia cyanea,Chlorospingus flavopectus,Chlorostilbon mellisugus,Chlorostilbon olivaresi,Chondrohierax uncinatus,Chordeiles acutipennis,Chordeiles minor,Chordeiles nacunda,Chordeiles pusillus,Chordeiles rupestris,Chrysolampis mosquitus,Chrysomus icterocephalus,Chrysuronia oenone,Chrysuronia versicolor,Ciccaba huhula,Ciccaba nigrolineata,Ciccaba virgata,Ciconia maguari,Circus buffoni,Cissopis leverianus,Claravis pretiosa,Clibanornis rubiginosus,Cnemotriccus fuscatus,Cnipodectes subbrunneus,Coccycua minuta,Coccycua pumila,Coccyzus americanus,Coccyzus erythropthalmus,Coccyzus melacoryphus,Cochlearius cochlearius,Coereba flaveola,Colaptes punctigula,Colaptes rubiginosus,Colinus cristatus,Colonia colonus,Columba livia,Columbina minuta,Columbina passerina,Columbina squammata,Columbina talpacoti,Conirostrum speciosum,Conopias parvus,Conopophaga aurita,Contopus cooperi,Contopus virens,Coragyps atratus,Corythopis torquatus,Cotinga cayana,Cotinga cotinga,Cotinga maynana,Cranioleuca gutturata,Cranioleuca vulpina,Crax alector,Crax globulosa,Crotophaga ani,Crotophaga major,Cryptopipo holochlora,Crypturellus bartletti,Crypturellus casiquiare,Crypturellus cinereus,Crypturellus duidae,Crypturellus soui,Crypturellus undulatus,Crypturellus variegatus,Cyanerpes caeruleus,Cyanerpes cyaneus,Cyanerpes nitidus,Cyanocorax heilprini,Cyanocorax violaceus,Cyanocorax yncas,Cyanoloxia cyanoides,Cyanoloxia rothschildii,Cyclarhis gujanensis,Cymbilaimus lineatus,Cyphorhinus arada,Dacnis albiventris,Dacnis cayana,Dacnis flaviventer,Dacnis lineata,Daptrius ater,Deconychura longicauda,Dendrexetastes rufigula,Dendrocincla fuliginosa,Dendrocincla merula,Dendrocolaptes certhia,Dendrocolaptes picumnus,Dendrocygna autumnalis,Dendrocygna viduata,Dendroma erythroptera,Dendroma rufa,Dendroplex picus,Deroptyus accipitrinus,Dichrozona cincta,Discosura langsdorffi,Discosura longicaudus,Dolichonyx oryzivorus,Donacobius atricapilla,Dromococcyx phasianellus,Drymophila devillei,Dryocopus lineatus,Dysithamnus mentalis,Egretta caerulea,Egretta thula,Egretta tricolor,Elaenia chiriquensis,Elaenia cristata,Elaenia flavogaster,Elaenia gigas,Elaenia parvirostris,Elaenia ruficeps,Elaenia spectabilis,Elaenia strepera,Elanoides forficatus,Elanus leucurus,Emberizoides herbicola,Empidonax traillii/alnorum,Empidonax virescens,Empidonomus aurantioatrocristatus,Empidonomus varius,Epinecrophylla erythrura,Epinecrophylla haematonota,Epinecrophylla ornata,Eubucco bourcierii,Eubucco richardsoni,Euchrepomis spodioptila,Eucometis penicillata,Eudocimus albus,Eudocimus ruber,Euphonia chlorotica,Euphonia chrysopasta,Euphonia laniirostris,Euphonia minuta,Euphonia plumbea,Euphonia rufiventris,Euphonia xanthogaster,Eupsittula pertinax,Eurypyga helias,Falco deiroleucus,Falco femoralis,Falco peregrinus,Falco rufigularis,Falco sparverius,Florisuga mellivora,Fluvicola pica,Formicarius analis,Formicarius colma,Formicivora grisea,Forpus conspicillatus,Forpus modestus,Forpus xanthopterygius,Frederickena fulva,Galbalcyrhynchus leucotis,Galbula albirostris,Galbula chalcothorax,Galbula dea,Galbula galbula,Galbula leucogastra,Galbula ruficauda,Galbula tombacea,Gallinago delicata,Gallinago paraguaiae,Gallinago undulata,Gallinula galeata,Gampsonyx swainsonii,Geothlypis aequinoctialis,Geothlypis philadelphia,Geotrygon montana,Geotrygon saphirina,Geranoaetus albicaudatus,Geranospiza caerulescens,Glaucidium brasilianum,Glaucidium hardyi,Glaucis hirsutus,Glyphorynchus spirurus,Grallaria dignissima,Grallaria guatimalensis,Grallaria varia,Granatellus pelzelni,Graydidascalus brachyurus,Gymnoderus foetidus,Gymnomystax mexicanus,Gymnopithys leucaspis,Habia rubica,Hafferia fortis,Harpagus bidentatus,Harpia harpyja,Helicolestes hamatus,Heliodoxa aurescens,Heliodoxa schreibersii,Heliomaster longirostris,Heliornis fulica,Heliothryx auritus,Hemithraupis flavicollis,Hemithraupis guira,Hemitriccus iohannis,Hemitriccus margaritaceiventer,Hemitriccus striaticollis,Hemitriccus zosterops,Henicorhina leucophrys,Henicorhina leucosticta,Herpetotheres cachinnans,Herpsilochmus dorsimaculatus,Herpsilochmus dugandi,Herpsilochmus rufimarginatus,Heterocercus aurantiivertex,Heterocercus flavivertex,Himantopus mexicanus,Hirundinea ferruginea,Hirundo rustica,Hydropsalis cayennensis,Hydropsalis climacocerca,Hydropsalis maculicaudus,Hylexetastes stresemanni,Hylocharis sapphirina,Hylopezus macularius,Hylophilus brunneiceps,Hylophilus flavipes,Hylophilus semicinereus,Hylophilus thoracicus,Hylophylax naevius,Hylophylax punctulatus,Hypnelus ruficollis,Hypocnemis flavescens,Hypocnemis hypoxantha,Hypocnemis peruviana,Hypocnemoides melanopogon,Ibycter americanus,Icterus auricapillus,Icterus cayanensis,Icterus croconotus,Icterus icterus,Icterus nigrogularis,Ictinia mississippiensis,Ictinia plumbea,Inezia caudata,Inezia subflava,Iodopleura isabellae,Isleria hauxwelli,Ixobrychus exilis,Ixothraupis guttata,Ixothraupis xanthogastra,Jabiru mycteria,Jacamerops aureus,Jacana jacana,Klais guimeti,Knipolegus poecilocercus,Lampropsar tanagrinus,Lanio fulvus,Laniocera hypopyrra,Laterallus exilis,Laterallus melanophaius,Lathrotriccus euleri,Legatus leucophaius,Leistes militaris,Lepidocolaptes duidae,Lepidocolaptes souleyetii,Lepidothrix coronata,Lepidothrix isidorei,Leptodon cayanensis,Leptopogon amaurocephalus,Leptopogon superciliaris,Leptotila rufaxilla,Leptotila verreauxi,Leucophaeus atricilla,Leucopternis melanops,Liosceles thoracicus,Lipaugus vociferans,Lophornis chalybeus,Lophornis delattrei,Lophostrix cristata,Lophotriccus galeatus,Lophotriccus pileatus,Lophotriccus vitiosus,Loriotus cristatus,Loriotus luctuosus,Lurocalis semitorquatus,Machaeropterus striolatus,Machetornis rixosa,Malacoptila fusca,Malacoptila mystacalis,Manacus manacus,Masius chrysopterus,Mazaria propinqua,Megaceryle torquata,Megarynchus pitangua,Megascops choliba,Megascops watsonii,Megastictus margaritatus,Melanerpes cruentatus,Melanerpes rubricapillus,Mesembrinibis cayennensis,Metopothrix aurantiaca,Micrastur buckleyi,Micrastur gilvicollis,Micrastur mirandollei,Micrastur ruficollis,Micrastur semitorquatus,Microbates collaris,Microcerculus marginatus,Micromonacha lanceolata,Microrhopias quixensis,Microxenops milleri,Milvago chimachima,Mimus gilvus,Mionectes oleagineus,Mionectes olivaceus,Mitu salvini,Mitu tomentosum,Mitu tuberosum,Mniotilta varia,Molothrus bonariensis,Molothrus oryzivorus,Momotus momota,Monasa flavirostris,Monasa morphoeus,Monasa nigrifrons,Morphnus guianensis,Mustelirallus albicollis,Mustelirallus erythrops,Myadestes ralloides,Mycteria americana,Myiarchus crinitus,Myiarchus ferox,Myiarchus swainsoni,Myiarchus tuberculifer,Myiarchus tyrannulus,Myiarchus venezuelensis,Myiobius atricaudus,Myiobius barbatus,Myiobius villosus,Myiodynastes chrysocephalus,Myiodynastes luteiventris,Myiodynastes maculatus,Myiopagis caniceps,Myiopagis flavivertex,Myiopagis gaimardii,Myiopagis viridicata,Myiophobus fasciatus,Myiornis ecaudatus,Myiothlypis cinereicollis,Myiothlypis fulvicauda,Myiozetetes cayanensis,Myiozetetes granadensis,Myiozetetes luteiventris,Myiozetetes similis,Myrmeciza longipes,Myrmelastes hyperythrus,Myrmelastes leucostigma,Myrmelastes schistaceus,Myrmoborus leucophrys,Myrmoborus lugubris,Myrmoborus myotherinus,Myrmophylax atrothorax,Myrmothera campanisona,Myrmotherula ambigua,Myrmotherula axillaris,Myrmotherula behni,Myrmotherula brachyura,Myrmotherula cherriei,Myrmotherula ignota,Myrmotherula longipennis,Myrmotherula menetriesii,Myrmotherula multostriata,Myrmotherula schisticolor,Myrmotherula sunensis,Myrmotherula surinamensis,Nasica longirostris,Nemosia pileata,Neoctantes niger,Neomorphus pucheranii,Neomorphus rufipennis,Neopelma chrysocephalum,Neopipo cinnamomea,Nomonyx dominicus,Nonnula brunnea,Nonnula rubecula,Notharchus hyperrhynchus,Notharchus ordii,Notharchus tectus,Nothocrax urumutum,Nyctanassa violacea,Nyctibius aethereus,Nyctibius bracteatus,Nyctibius grandis,Nyctibius griseus,Nyctibius leucopterus,Nycticorax nycticorax,Nyctidromus albicollis,Nyctiphrynus ocellatus,Nyctipolus nigrescens,Nyctiprogne leucopyga,Ochthornis littoralis,Odontophorus gujanensis,Onychorhynchus coronatus,Opisthocomus hoazin,Oporornis agilis,Oressochen jubatus,Ornithion inerme,Ortalis guttata,Ortalis motmot,Ortalis ruficauda,Orthopsittaca manilatus,Pachyramphus albogriseus,Pachyramphus castaneus,Pachyramphus cinnamomeus,Pachyramphus marginatus,Pachyramphus minor,Pachyramphus polychopterus,Pachyramphus rufus,Pachysylvia aurantiifrons,Pachysylvia hypoxantha,Pandion haliaetus,Panyptila cayennensis,Parabuteo unicinctus,Parkesia noveboracensis,Paroaria gularis,Paroaria nigrogenis,Patagioenas cayennensis,Patagioenas plumbea,Patagioenas speciosa,Patagioenas subvinacea,Pauxi pauxi,Pelecanus occidentalis,Penelope argyrotis,Penelope jacquacu,Penelope purpurascens,Percnostola rufifrons,Perissocephalus tricolor,Petrochelidon pyrrhonota,Phacellodomus rufifrons,Phaeomyias murina,Phaethornis anthophilus,Phaethornis atrimentalis,Phaethornis augusti,Phaethornis bourcieri,Phaethornis griseogularis,Phaethornis guy,Phaethornis hispidus,Phaethornis malaris,Phaethornis ruber,Phaethornis rupurumii,Phaetusa simplex,Phalacrocorax brasilianus,Pharomachrus pavoninus,Phelpsia inornata,Pheugopedius coraya,Pheugopedius rutilus,Philydor erythrocercum,Philydor pyrrhodes,Phimosus infuscatus,Phlegopsis erythroptera,Phlegopsis nigromaculata,Phoenicircus nigricollis,Piaya cayana,Piaya melanogaster,Picoides fumigatus,Piculus chrysochloros,Piculus flavigula,Picumnus exilis,Picumnus lafresnayi,Picumnus pumilus,Picumnus rufiventris,Picumnus squamulatus,Pilherodius pileatus,Pionites melanocephalus,Pionus chalcopterus,Pionus menstruus,Pionus sordidus,Pipile cumanensis,Pipra filicauda,Piprites chloris,Piranga leucoptera,Piranga olivacea,Piranga rubra,Pitangus lictor,Pitangus sulphuratus,Pithys albifrons,Platalea ajaja,Platyrinchus coronatus,Platyrinchus mystaceus,Platyrinchus platyrhynchos,Platyrinchus saturatus,Plegadis falcinellus,Pluvialis dominica,Podilymbus podiceps,Poecilotriccus calopterus,Poecilotriccus capitalis,Poecilotriccus latirostris,Poecilotriccus sylvia,Polioptila guianensis,Polioptila plumbea,Polystictus pectoralis,Polytmus guainumbi,Polytmus theresiae,Porphyrio flavirostris,Porphyrio martinica,Porphyrolaema porphyrolaema,Porzana carolina,Progne chalybea,Progne subis,Progne tapera,Psarocolius angustifrons,Psarocolius bifasciatus,Psarocolius decumanus,Psarocolius viridis,Pseudastur albicollis,Pseudopipra pipra,Psittacara leucophthalmus,Psophia crepitans,Pteroglossus azara,Pteroglossus castanotis,Pteroglossus inscriptus,Pteroglossus pluricinctus,Pteroglossus torquatus,Pulsatrix perspicillata,Pygiptila stellaris,Pygochelidon cyanoleuca,Pygochelidon melanoleuca,Pyrilia barrabandi,Pyrilia pyrilia,Pyrocephalus rubinus,Pyrrhomyias cinnamomeus,Pyrrhura melanura,Querula purpurata,Quiscalus lugubris,Ramphastos ambiguus,Ramphastos tucanus,Ramphastos vitellinus,Ramphocaenus melanurus,Ramphocelus carbo,Ramphocelus nigrogularis,Ramphotrigon megacephalum,Ramphotrigon ruficauda,Rhegmatorhina cristata,Rhegmatorhina melanosticta,Rhynchocyclus olivaceus,Rhytipterna immunda,Rhytipterna simplex,Riparia riparia,Rostrhamus sociabilis,Rupicola peruvianus,Rupicola rupicola,Rupornis magnirostris,Rynchops niger,Sakesphorus canadensis,Saltator coerulescens,Saltator grossus,Saltator maximus,Saltator orenocensis,Saltator striatipectus,Sarcoramphus papa,Satrapa icterophrys,Saucerottia viridigaster,Sayornis nigricans,Schiffornis major,Schiffornis turdina,Schistochlamys melanopis,Sciaphylax castanea,Sclateria naevia,Sclerurus albigularis,Sclerurus caudacutus,Sclerurus mexicanus,Sclerurus rufigularis,Selenidera nattereri,Selenidera reinwardtii,Setophaga fusca,Setophaga petechia,Setophaga pitiayumi,Setophaga ruticilla,Setophaga striata,Sicalis columbiana,Sicalis flaveola,Sicalis luteola,Sirystes albocinereus,Sittasomus griseicapillus,Spatula discors,Spizaetus melanoleucus,Spizaetus ornatus,Spizaetus tyrannus,Sporophila angolensis,Sporophila bouvronides,Sporophila castaneiventris,Sporophila crassirostris,Sporophila fringilloides,Sporophila intermedia,Sporophila lineola,Sporophila luctuosa,Sporophila minuta,Sporophila murallae,Sporophila nigricollis,Sporophila plumbea,Sporophila schistacea,Steatornis caripensis,Stelgidopteryx ruficollis,Sternula superciliaris,Stilpnia cayana,Stilpnia cyanicollis,Stilpnia nigrocincta,Streptoprocne rutila,Streptoprocne zonaris,Sturnella magna,Sublegatus arenarum,Sublegatus modestus,Sublegatus obscurior,Synallaxis albescens,Synallaxis albigularis,Synallaxis gujanensis,Synallaxis moesta,Synallaxis rutilans,Syrigma sibilatrix,Systellura longirostris,Tachornis furcata,Tachornis squamata,Tachybaptus dominicus,Tachycineta albiventer,Tachyphonus phoenicius,Tachyphonus rufus,Tachyphonus surinamus,Tangara arthus,Tangara callophrys,Tangara chilensis,Tangara gyrola,Tangara mexicana,Tangara schrankii,Tangara velia,Tapera naevia,Taraba major,Terenotriccus erythrurus,Tersina viridis,Thalurania colombica,Thalurania furcata,Thamnomanes ardesiacus,Thamnomanes caesius,Thamnophilus aethiops,Thamnophilus amazonicus,Thamnophilus doliatus,Thamnophilus multistriatus,Thamnophilus murinus,Thamnophilus nigrocinereus,Thamnophilus praecox,Thamnophilus punctatus,Thamnophilus schistaceus,Thamnophilus tenuepunctatus,Thectocercus acuticaudatus,Theristicus caudatus,Thlypopsis sordida,Thraupis episcopus,Thraupis palmarum,Threnetes leucurus,Thripophaga cherriei,Thryophilus rufalbus,Tigrisoma fasciatum,Tigrisoma lineatum,Tinamus guttatus,Tinamus major,Tinamus tao,Tityra cayana,Tityra inquisitor,Tityra semifasciata,Todirostrum chrysocrotaphum,Todirostrum cinereum,Todirostrum maculatum,Tolmomyias assimilis,Tolmomyias flaviventris,Tolmomyias poliocephalus,Tolmomyias sulphurescens,Tolmomyias traylori,Topaza pyra,Touit huetii,Touit purpuratus,Tringa flavipes,Tringa melanoleuca,Tringa solitaria,Troglodytes aedon,Trogon collaris,Trogon curucui,Trogon melanurus,Trogon rufus,Trogon violaceus sensu lato (ramonianus),Trogon viridis,Tunchiornis ochraceiceps,Turdus albicollis,Turdus arthuri,Turdus fumigatus,Turdus hauxwelli,Turdus ignobilis,Turdus lawrencii,Turdus leucomelas,Turdus leucops,Turdus nudigenis,Tyranneutes stolzmanni,Tyrannopsis sulphurea,Tyrannulus elatus,Tyrannus albogularis,Tyrannus dominicensis,Tyrannus melancholicus,Tyrannus savana,Tyrannus tyrannus,Tyto alba,Vanellus cayanus,Vanellus chilensis,Veniliornis affinis,Veniliornis kirkii,Veniliornis passerinus,Vireo flavoviridis,Vireo olivaceus,Vireolanius eximius,Vireolanius leucotis,Volatinia jacarina,Willisornis poecilinotus,Xenopipo atronitens,Xenops minutus,Xenops tenuirostris,Xiphocolaptes promeropirhynchus,Xipholena punicea,Xiphorhynchus elegans,Xiphorhynchus guttatus,Xiphorhynchus obsoletus,Xiphorhynchus ocellatus,Zebrilus undulatus,Zenaida auriculata,Zimmerius gracilipes,Zonotrichia capensis
 San José del Guaviare,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1
i) Chiribiquete,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1
